,Tweet,Report
0,"""Seems Rahul Gandhi Owned Kingfisher Airline Proxy"": Hits Back https://t.co/Bh8tiF2A7B @ndtv ",0
1,"NDA/BJP Government stopped opposition Programme, would have been called “Undeclared Emergency”. ",0
2,think that Congi battle consequence will lose war. Defeat recent Assembly election… ,0
3,@k_vibhas @Aban__Ind @From_Himalaya @INA99thBrigade anyone forced give vote BJP? ,-1
4,"Efforts create anti-Congress, anti-BJP Federal Front threatens Rahul Gandhi’s dreams Mahagathbandhan https://t.c… ",0
5,"""Jai Jagganath"" says Modi Khurda, Orissa. Could Modi considering Puri possible constituency 2019 ele… ",0
6,"""Jai Jagganath"" says Modi Khurda, Orissa. Could Modi considering Puri possible constituency 2019 ele… ",0
7,"Hello @smritiirani just done ""word play show with @ikamalhaasan Actually could wasn't ready for… ",1
8,Arnab visibly upset seeing that Congress projected good seats #Jharkhand sweeping #Punjab. says-… ,1
9,hello modi namo ,0
10,Modi shares highlights 2018 with workers https://t.co/bSjZPqhDRy NaMo https://t.co/bI6YOsrQgK ,0
11,This @smritiirani capable only talk shows name debate conducted @republic channel cour… ,1
12,"Dont know they change topic These people BJP""s soap boxes https://t.co/m5SIKNBaUN ",0
13,Congress Years) IIT's IIM's AIIMS Universities IIIT (last Years) IIT's IIM's ,0
14,,0
15,Congress Years) IIT's IIM's AIIMS Universities IIIT (last Years) IIT's IIM's ,0
16,think that Congi battle consequence will lose war. Defeat recent Assembly election… ,0
17,News Oppn Sambit Patra will LONGER press conferences. Good News Oppn Whoever replaces wont… ,1
18,Congress Years) IIT's IIM's AIIMS Universities IIIT (last Years) IIT's IIM's ,0
19,Shall officially join Nagpur BJP? anyway planning devote next three months help @nitin_gadkari from Nagpur.… ,0
20,@smritiirani told Playing National anthem theatres right patriotic blah blah stopped ,1
21,think that Congi battle consequence will lose war. Defeat recent Assembly election… ,0
22,hypocritical state affairs when spokespersons dissent against @narendramodi &amp; @myogiadityanath start explain… ,0
23,think that Congi battle consequence will lose war. Defeat recent Assembly election… ,0
24,@SunilKandalkar4 @ghaaspoos1 @DickDarryl @just_one_indian @btrWorld1 @Tamil1947 @sanjayuvacha @Vinoochari @nehasamee11 @te… ,0
25,Congress Years) IIT's IIM's AIIMS Universities IIIT (last Years) IIT's IIM's ,0
26,These government isnt capable take Perfect decision anything.. they rule they change after that.. Osc… ,1
27,@sadhavi trying blind fold until 2030... Modi will come again rule until 2024 and… https://t.co/mCcEGAVtrz ,-1
28,News year. Sambit Patra wouldn't doing party press briefings anymore. realised that Patra harming… ,0
29,,0
30,Yes. This writing wall. #BJP #ShivSena will lose LokSabha election very badly. #CongressFor2019 https://t… ,-1
31,"lakh houses have been constructed Uttar Pradesh, says @gauravbh, National Spokesperson, #YogiSopForHindus ",0
32,BJP's central govt gave five lakh enhanced compensation only riots victims families 2014 @ArvindKejr… ,0
33,much Govt into? They would have sold their conscience with bargain. https://t.co/E3aO3Qky7U ,1
34,think that Congi battle consequence will lose war. Defeat recent Assembly election… ,0
35,removes Sambit Patra from doing party press briefings. Huge blow entertainment industry audience ,1
36,think that Congi battle consequence will lose war. Defeat recent Assembly election… ,0
37,vote share dropped seats where Modi campaigned. It's time bring Yogi Adityanath. wait. vote… ,0
38,Congress Years) IIT's IIM's AIIMS Universities IIIT (last Years) IIT's IIM's ,0
39,"#NationalApprovalRatings terms national elections, campaigning start. states where lost stat… ",0
40,Sambit Patra will longer doing press briefings BJP. Arnab Goswami Navika officially take over from him. ,0
41,"After @narendramodi embarrassing gaffe &amp; failure answer party worker's question during interaction,BJP will… ",-1
42,Differences between 1984 &amp; 2002 riots: -Cong never been anti-Sikh. born with anti-Muslim ideology. -Cong apologised for… ,0
43,Finance ministry associate with nation grow. Arun jaitely create fear modi that CON… https://t.co/xCLBwKsvCn ,0
44,Double Blow Entertainment Industry *Sambit Patra dropped from list Spokespersons *BJP filter questions from worke… ,0
45,removes Sambit Patra from doing party press briefings. Huge blow entertainment industry audience ,1
46,massive rally organised Dalsinghsarai Bihar called ousting from Centre State. rally addressed ,0
47,Arnab visibly upset seeing that Congress projected good seats #Jharkhand sweeping #Punjab. says-… ,1
48,#SackYogiSaveGirl trending. Disastrous failure @BJP4India's cell. Time @AmitShah wake make heads ,-1
49,Sambit Patra will longer doing press briefings BJP. Arnab Goswami Navika officially take over from him. ,0
50,"Nitin Gadkari slams media misreporting statements days after taking veiled Arnab Goswami, Sambit Patra ",0
51,"lakh houses have been constructed Uttar Pradesh, says @gauravbh, National Spokesperson, #YogiSopForHindus ",0
52,@JPforAAP give psychological advantage ,0
53,"@GudaRahul @mvmeet @Swamy39 forget all... fighting cases joined BJP, it's fair BJP… ",1
54,@abpnewshindi @RubikaLiyaquat @thewirehindi @BoltaHindustan @aajtak @HindiJKR @iamnarendranath… https://t.co/4rABTEyVfp ,0
55,Vedic Education: Govt board which combines Vedic Modern studies. Govt planning setting ,1
56,Lathicharge Bengal town protesting workers attack cops Read here: https://t.co/TeP3rVAfhT https://t.co/STIY2VMA0T ,0
57,Congress Years) IIT's IIM's AIIMS Universities IIIT (last Years) IIT's IIM's ,0
58,".@TigerRajaSingh *only* Telangana. those care, writing quite literally wall ",0
59,"Humare Desh bahut saare cockroach ghus gaye Desh khaate ,isi Desh award Jeet ",0
60,"Agar kare kare kya, bole bole kya! Have ever seen World Leader insecure that doesn’t ",-1
61,,0
62,think that Congi battle consequence will lose war. Defeat recent Assembly election… ,0
63,,0
64,"Thanks ⁦@ShatruganSinha⁩ gracing launch #The ParadoxicalPrimeMinister Thiruvananthapuram! said, it’s… ",1
65,@SwamyBhakt @sri9011 @Swamy39 Agree Modi equal. Modi just part BJP. Only scenario which Modi will… ,0
66,,0
67,"Riding Modi magic, huge gains #Odisha 2019 Sabha elections: News Survey #देशकामूड https://t.co… ",1
68,hypocritical state affairs when spokespersons dissent against @narendramodi &amp; @myogiadityanath start explain… ,0
69,@narendramodi @RahulGandhi full form good ,1
70,"Mandir Ayodhya only solution, will pave vikas https://t.co/tjdKmWVnBy ",0
71,@ArvindKejriwal @MamataOfficial @SitaramYechury @narendramodi @arunjaitley what these people called… https://t.co/uvMIXjeNRr ,0
72,What happened accountability Telangana sir? heads rolling rout? Last heard https://t.co/RoYP3wc6WV ,0
73,What procedure adopted remove Sandeep Patra from Spokeperson post? Flushed. ,0
74,STILL cross 2014 tally Rythu Bandhu style DIRECT money transfer farmers relief salaried ,1
75,"letter #RaviShankarPrasad, Rajeev Chandrasekhar says government little curb digital sexual abuse ",1
76,"Efforts create anti-Congress, anti-BJP Federal Front threatens Rahul Gandhi’s dreams Mahagathbandhan https://t.c… ",0
77,"Uddhav Thackeray says 'Chowkidaar Chor Hai', referring #Modi. words @RahulGandhi echoing just ",0
78,Cell head @amitmalviya enjoys reduced rates more than week before they actually come into effect https:… ,1
79,News year. Sambit Patra wouldn't doing party press briefings anymore. realised that Patra harming… ,0
80,pro-poor step where consumers need whole month's bill instead they their req… ,1
81,"lakh houses have been constructed Uttar Pradesh, says @gauravbh, National Spokesperson, #YogiSopForHindus ",0
82,#SackYogiSaveGirl trending. Disastrous failure @BJP4India's cell. Time @AmitShah wake make heads ,-1
83,think that Congi battle consequence will lose war. Defeat recent Assembly election… ,0
84,Hanuman alive would have burnt offices like burnt Lanka. https://t.co/TiyT8sV3bH ,1
85,#BJP president #AmitShah demands temple disputed site &amp; Supreme Court conduct immediate hearings. the… ,0
86,think should Sena after going this calling Modi chor Fight 2019 Alone. need this humil… ,0
87,There existential crisis parties which they will have come together particularly take advan… ,1
88,Good news! Rumours about Patra's removal apparently false. India's favourite entertainer will continue delight… ,1
89,days have passed since owned Janmabhumi published snide casteist pocket cartoon against Kerala Chief Minister… ,0
90,#UttarPradesh- state which gave 73/80 2014 325/403 2017. historic mandate meets colossal failure.… ,1
91,"Agar kare kare kya, bole bole kya! Have ever seen World Leader insecure that doesn’t ",-1
92,Hanuman Dalit Yogi Adityanath Hanuman Brahmin Hari Pandey Hanuman Tribal ,0
93,"sir, please some city bharaman during your visit Etah, take road ride Aligrah https://t.co/SiMrlHI5yu ",0
94,Supreme Court Registrar refuses give urgent hearing before vacation bench appeal West Bengal against Calcutta… ,0
95,think you're wise enough introspect what said while Opposition_what said time… https://t.co/367h8NjpKr ,1
96,Congress Years) IIT's IIM's AIIMS Universities IIIT (last Years) IIT's IIM's ,0
97,,0
98,"constituency Gowda family,(ally Cong now), they secular body (including media… https://t.co/0myzaYi7kb ",0
99,Tomorrow millions karyakartas over country will their tributes Atal birth anniversary...… ,0
